pedido_id,fecha_pedido,fecha_entrega,anio_pedido,mes_pedido,dia_semana_pedido,dias_entrega,pedido_retrasado,retraso_dias,km_recorridos,costo_transporte,costo_por_km,municipio,tipo_cliente,id_autoparte,categoria,costo_unitario,stock_actual,stock_minimo,margen_stock,ratio_stock,pais_proveedor,ruta
1,2021-02-23,2021-02-24,2021,2,2,1,0,0,12.3,214.66,17.45,Celaya,Planta,90-SUS,Suspensión,679.84,1842,357,1485,5.16,China,QRO-SJR
2,2026-05-25,2026-06-04,2026,5,1,10,0,0,259.6,4968.12,19.14,San Juan del Río,Planta,62-SEN,Sensores,61.64,976,325,651,3,Japón,QRO-SJR
3,2026-05-12,2026-06-01,2026,5,2,20,1,10,175.2,1527.56,8.72,San Juan del Río,Taller,52-SEN,Sensores,2701.62,2240,729,1511,3.07,China,QRO-CEL
4,2025-12-01,2025-12-02,2025,12,1,1,0,0,256.4,5064.06,19.75,San Luis Potosí,Tier1,14-SEN,Sensores,1286.42,722,555,167,1.3,China,QRO-MQZ
5,2026-05-22,2026-06-03,2026,5,5,12,0,0,26.4,307.06,11.63,San Juan del Río,Tier1,73-SUS,Suspensión,1205.2,139,592,-453,0.23,Japón,QRO-MQZ
6,2024-08-24,2024-08-27,2024,8,6,3,0,0,277.2,3111.93,11.23,Querétaro,Distribuidor,81-SEN,Sensores,3476.55,1073,855,218,1.25,Japón,QRO-CEL
7,2021-07-09,2021-07-16,2021,7,5,7,1,4,298.3,3822.59,12.81,El Marqués,Taller,71-SEN,Sensores,263.19,144,177,-33,0.81,USA,QRO-SJR
8,2026-02-12,2026-02-13,2026,2,4,1,0,0,91.8,846.7,9.22,Querétaro,Tier1,8-FRE,Frenos,1993.18,2763,635,2128,4.35,Alemania,QRO-SLP
9,2024-11-15,2024-11-16,2024,11,5,1,0,0,306.8,3011.38,9.82,San Juan del Río,Taller,49-ARN,Arneses,412.82,3527,162,3365,21.77,México,QRO-CEL
10,2022-04-17,2022-04-19,2022,4,0,2,0,0,98.9,1534.31,15.51,Celaya,Distribuidor,39-FRE,Frenos,1372.38,2726,706,2020,3.86,China,QRO-SLP
